,Action_1,Action_2,Action_3,Action_4
0,-0.3422178574,0.3603632311,-0.947765388,0.1388595432
1,0.7017203057,0.1753590011,-0.9268269035,0.1787766814
2,-0.174305661,0.9308026131,-0.41483839,-0.04727703915
3,-0.1081452674,0.1758184466,0.6734496575,-0.1997280767
4,-0.06845194408,-0.7404122384,0.6635868029,0.06995878305
5,-0.01780383745,-0.6441543743,0.7499890166,-0.1968239823
6,0.2677866938,-0.6637639921,0.4789570445,0.1310764441
7,0.3496436563,-0.4332868661,0.07011049236,0.1334973051
8,0.5200272221,-0.08570608278,-0.07393222225,-0.0238915289
9,0.5995782062,0.1483684002,0.02671461659,0.07468725176
10,0.4877531885,0.301774861,-0.0006117740599,0.04330577986
11,0.6539019486,0.8311127165,-0.6248030966,0.1522648954
12,0.5013931814,0.821685537,-0.3729194431,-0.1693159167
13,-0.321386067,0.9447030842,-0.4649445679,0.6239271098
14,-0.2206936749,0.9627906474,0.1837787996,0.3357976976
15,-0.2339576053,0.9637016778,0.314202511,-0.007188418101
16,-0.5001755883,0.9561554099,0.04067914712,0.1286922883
17,-0.589507278,0.9369430714,-0.1205785743,0.1888174331
18,-0.4265275063,-0.2803543973,0.8341090319,0.05462031765
19,-0.6416904736,-0.6915136784,0.9639912474,-0.1097111476
20,-0.5370876655,-0.4313746144,0.8784663769,-0.009342571159
21,-0.4419579382,-0.2803048396,0.8367712334,-0.04941252611
22,-0.3262977754,-0.07349205065,0.7567226244,0.03499467913
23,-0.235473992,0.07303757849,0.6582491176,0.03345296651
24,0.6070113263,-0.5169379727,0.3223619313,0.01599503906
25,0.6183556451,-0.7057020682,0.1530277575,0.1067942692
26,-0.2720237566,-0.6475828521,-0.6868963785,-0.08180326365
27,-0.4334470405,0.9772627735,-0.6063698099,0.1146260223
28,-0.5440219997,0.9674906497,-0.2816939979,-0.1678781391
29,-0.748267965,0.9710375559,-0.4589724055,-0.04224865355
30,-0.770280197,0.9684483527,-0.04472278721,-0.4821434428
31,-0.8051437281,-0.08454610965,0.5546322901,-0.1092144938
32,-0.8429374753,-0.08381467749,0.7933226108,-0.3052543782
33,-0.78931526,0.04558255511,0.6514400473,-0.3463012812
34,-0.641421958,0.1637705509,0.404808193,-0.1564504229
35,-0.9925790892,0.9968912277,-0.8849484993,0.2534926654
36,-0.9957238106,0.8772975892,0.3899707987,-0.05396976647
37,-0.9952214557,0.7694630319,0.2119417103,0.03011290243
38,-0.9971728257,0.6497091129,0.3730120214,-0.4679487852
39,-0.9972803193,0.4839753598,0.01104163307,0.06708357613
40,-0.9975040238,0.7480626782,-0.1190806738,-0.1236251867
41,-0.9949713252,0.7127672953,-0.5237561294,0.2368748394
42,-0.9972193739,0.8126222327,-0.4593905415,-0.4000360991
43,-0.9971984462,0.857420075,-0.7670438159,-0.4552688377
44,-0.9970696763,0.8394938805,-0.6526856083,-0.4438257566
45,-0.9966732152,0.8054152358,-0.6257003763,-0.4451317647
46,-0.9963188023,0.7542827407,-0.6162483047,-0.4454140916
47,-0.9958250404,0.6753368366,-0.5580810799,-0.4531165246
48,-0.9952727665,0.5665732173,-0.5025229728,-0.4576268439
49,-0.9974401206,0.4256960539,-0.6268634061,-0.7075236279
50,-0.9971482372,0.2542454863,-0.5721835293,-0.7116982121
51,-0.9981146678,0.09594464771,-0.4413861526,-0.777424956
52,-0.9981559303,-0.2203938118,-0.4067610415,-0.7568773616
53,-0.999362062,0.1741601424,-0.07075948105,-0.7414998481
54,-0.9982061516,-0.2407329882,-0.5292919338,-0.7613545188
55,-0.9994448281,0.153269182,-0.1543983226,-0.7615477617
56,-0.9986500365,-0.1828421858,-0.5138469788,-0.7619569036
57,-0.9995081411,-0.07338531284,-0.5956665489,-0.3894544003
58,-0.9994592614,0.3524379919,-0.4103246846,-0.7961328517
59,-0.9975398499,-0.5278990159,-0.6637790979,-0.6709231715
60,-0.9997194513,-0.03517151654,0.4698021579,-0.6894729181
61,-0.9997529358,-0.3388369305,0.7067037487,-0.7646393248
62,-0.9973671722,-0.6878943933,0.6465195263,-0.7025836988
63,-0.9962937467,-0.5452494002,0.6273967116,-0.7813552762
64,-0.9952573424,-0.4403321215,0.4868598789,-0.7783813416
65,-0.9939750482,-0.3945877588,0.477299506,-0.7781291376
66,-0.9921987779,-0.341447826,0.4465016971,-0.7797676366
67,-0.9899541363,-0.2842802498,0.3957545173,-0.7788774809
68,-0.9868617116,-0.2199861665,0.3582332151,-0.7765498078
69,-0.9112692822,-0.7414979894,0.04073989474,-0.7790142108
70,-0.783653203,-0.2172785886,-0.8880565873,-0.4282492383
71,-0.9457917371,0.004704195612,-0.4804219674,-0.4277040733
72,-0.9634856305,0.5194471651,-0.7366241641,-0.5268118336
73,-0.9429077252,0.02262882159,-0.7977259341,-0.5711167005
74,-0.9593949784,-0.3777644824,-0.4511251796,-0.5453126081
75,-0.9955578219,0.5581414797,0.2104427043,-0.3888886561
76,-0.9640192091,0.5260613234,-0.8643212729,-0.4254675885
77,-0.9553782638,-0.3919891854,-0.3627989724,-0.5439793756
78,-0.9961122575,-0.01833156703,0.6877679481,-0.4017310168
79,-0.9984457188,0.8892897376,-0.1634065587,-0.5594875546
80,-0.9874108424,-0.06342082309,0.2222506115,-0.6515922994
81,-0.9925599502,0.08751684559,0.8872962238,-0.3509476495
82,0.4262591107,0.2683040976,-0.9640767557,-0.01921750788
83,0.3888390807,0.7977223569,-0.9606132727,0.6583974129
84,-0.1373733843,0.8786853626,-0.3128130021,-0.06806285374
85,-0.1328846648,-0.3576729566,0.7657647128,-0.2092886377
86,-0.2942437277,-0.9015063338,0.9155655804,-0.05995133265
87,-0.05878837805,-0.7849971931,0.7304747472,0.1113473774
88,0.05758990764,-0.6213172222,0.6977236973,-0.07784487814
89,0.1281138799,-0.5642396389,0.5382901816,0.1532775685
90,0.2560431606,-0.377748035,0.5297533242,-0.1512700205
91,0.3473720918,-0.4488492872,0.2341921007,0.2302410843
92,0.5275408883,-0.08880730152,0.06346049687,-0.2010451318
93,0.6289455504,-0.0159515876,-0.08490936919,0.1818931049
94,0.7909318654,-0.09297235601,-0.2883918412,0.2234104452
95,0.7903636287,0.1518029739,0.01824101972,0.0003882167776
96,0.895989166,-0.1654342631,-0.06657898918,-0.1292518544
97,0.4614855408,0.09183188131,0.4505010993,-0.04949467538
98,0.3934225283,0.7904396095,-0.3227655022,0.2360611634
99,0.3321279728,0.7772389324,0.1209979338,-0.1404864924
100,0.2751248125,0.7745819006,0.05464979405,0.229676102
101,0.3259262705,0.7604766105,0.4953361665,-0.1913697726
102,0.3840467512,0.3648770865,0.3081727738,0.3327336476
103,0.4978621689,0.4838393342,0.5819195738,-0.4493790188
104,0.5054637372,0.5200276229,0.4109725647,0.1686257517
105,0.5511686398,0.350303156,0.6128834171,-0.1995855989
106,0.6155490769,0.1212897168,0.6230042214,0.005631593462
107,0.7415537925,-0.5934002004,0.8424019821,-0.2362850012
108,0.7677632927,-0.1264623943,0.5236144615,0.2125422004
109,0.5740634926,0.113398062,0.5327782781,0.1529074867
110,0.3925336604,0.2777599594,0.3676351555,-0.5639435366
111,0.0693779596,0.9223901202,-0.6493782884,-0.09581628593
112,-0.08780391798,0.9370310285,-0.6979477406,0.1855750504
113,0.06184412812,0.9565160572,-0.3113232377,-0.2490484438
114,-0.2260886939,0.9283238741,-0.6797715825,0.1102544752
115,-0.2740606399,-0.1433409843,0.2520993084,-0.1129091381
116,-0.5381803844,-0.07482672278,0.5354329947,0.007903016406
117,-0.3563620256,-0.4065597659,0.3309542974,-0.05889939879
118,-0.1950853395,-0.2318614692,0.0412431155,0.02646912734
119,-0.04741102425,-0.05628064102,-0.2125551394,0.1221371735
120,0.4844854175,0.4457367327,-0.8485882759,0.4466292115
121,0.5887673139,0.8932783495,-0.8813116812,-0.03646810966
122,-0.2892303411,0.9360497226,-0.8365391165,0.04756563354
123,-0.0642130158,0.9608156419,-0.8151047552,0.007370080958
124,-0.1362626003,0.9720851571,-0.6213547757,-0.06641404297
125,0.1319768972,0.5444361551,0.385968205,-0.3641560517
126,0.1209317147,-0.0435285417,-0.3377745788,0.1531873513
127,0.3096022684,0.1654405214,-0.05624189428,-0.2816310462
128,0.1647393041,0.0627609596,-0.2684483476,0.3100515943
129,0.5205198612,-0.009669534859,0.08467269906,-0.2773755342
130,0.2708153731,-0.5541334242,-0.09141695957,0.1237046895
131,-0.8872474284,0.8227637833,0.3696273633,0.5070690736
132,0.1454300469,-0.4019797091,-0.7599818988,0.1888624185
