Iteration,Fitness,Nodes,ANNECS,Algorithm
150,251.410926,3,0,FBT-ATEP
1000,312.618108,38,0,FBT-ATEP
2000,295.792597,58,0,FBT-ATEP
3000,320.578624,72,0,FBT-ATEP
4000,299.469099,88,5,FBT-ATEP
5000,318.694929,77,11,FBT-ATEP
6000,317.648591,76,17,FBT-ATEP
7000,298.327051,69,24,FBT-ATEP
8000,312.139465,86,31,FBT-ATEP
9000,298.327,76,38,FBT-ATEP
10000,312.1394,86,45,FBT-ATEP
11000,319.7355,89,52,FBT-ATEP
12000,316.2236,96,59,FBT-ATEP
13000,318.9092,99,63,FBT-ATEP
14000,320.3323,103,67,FBT-ATEP
15000,317.2964,104,72,FBT-ATEP
16000,301.2212,101,77,FBT-ATEP
17000,314.2664,109,83,FBT-ATEP
18000,313.0934,108,91,FBT-ATEP
19000,314.1222,101,93,FBT-ATEP
20000,307.9092,111,101,FBT-ATEP
21000,309.3356,107,104,FBT-ATEP
22000,319.3321,122,109,FBT-ATEP
23000,316.2235,123,110,FBT-ATEP
24000,315.0058,134,115,FBT-ATEP
25000,309.6679,127,117,FBT-ATEP
150,0,1,0,SBT-ATEP
1000,274.7384302,13,0,SBT-ATEP
2000,284.3381844,17,0,SBT-ATEP
3000,289.3815699,18,0,SBT-ATEP
4000,282.9542769,18,4,SBT-ATEP
5000,277.6850227,21,10,SBT-ATEP
6000,262.237908,23,16,SBT-ATEP
7000,298.2913604,16,23,SBT-ATEP
8000,299.2344567,24,30,SBT-ATEP
9000,298.0222,24,37,SBT-ATEP
10000,302.9809,25,44,SBT-ATEP
11000,288.3584561,29,49,SBT-ATEP
12000,281.9393558,31,55,SBT-ATEP
13000,298.9831,36,61,SBT-ATEP
14000,309.9273,35,68,SBT-ATEP
15000,301.5093424,22,74,SBT-ATEP
16000,313.2236,33,80,SBT-ATEP
17000,306.9909,37,88,SBT-ATEP
18000,299.0909,34,92,SBT-ATEP
19000,317.9001,43,99,SBT-ATEP
20000,317.1101,39,106,SBT-ATEP
21000,298.2983,41,109,SBT-ATEP
22000,306.4759,48,114,SBT-ATEP
23000,319.2201,42,118,SBT-ATEP
24000,321.0009,39,122,SBT-ATEP
25000,309.3113,46,126,SBT-ATEP
150,-11.0299,80,0,EPOET40x40
1000,285.6297,80,0,EPOET40x40
2000,247.8181,80,0,EPOET40x40
3000,227.5776,80,0,EPOET40x40
4000,263.8712,80,4,EPOET40x40
5000,251.3221,80,11,EPOET40x40
6000,283.7833,80,17,EPOET40x40
7000,279.9801,80,23,EPOET40x40
8000,279.3343,80,30,EPOET40x40
9000,281.3562,80,37,EPOET40x40
10000,295.3633,80,44,EPOET40x40
11000,299.3363,80,49,EPOET40x40
12000,301.2357,80,56,EPOET40x40
13000,305.3361,80,61,EPOET40x40
14000,296.3535,80,63,EPOET40x40
15000,295.7894,80,65,EPOET40x40
16000,299.0911,80,70,EPOET40x40
17000,303.1209,80,75,EPOET40x40
18000,307.9905,80,81,EPOET40x40
19000,302.5638,80,87,EPOET40x40
20000,309.8001,80,90,EPOET40x40
21000,311.3381,80,95,EPOET40x40
22000,323.6997,80,98,EPOET40x40
23000,321.0025,80,102,EPOET40x40
24000,311.9607,80,106,EPOET40x40
25000,307.0314,80,110,EPOET40x40
150,-23.6766,40,0,EPOET20x20
1000,-7.9892,40,0,EPOET20x20
2000,56.9087,40,0,EPOET20x20
3000,147.9809,40,0,EPOET20x20
4000,199.1384,40,0,EPOET20x20
5000,207.9231,40,0,EPOET20x20
6000,234.0907,40,0,EPOET20x20
7000,271.7382,40,5,EPOET20x20
8000,275.3329,40,10,EPOET20x20
9000,268.3849,40,14,EPOET20x20
10000,281.5636,40,20,EPOET20x20
11000,274.3329,40,26,EPOET20x20
12000,261.986,40,28,EPOET20x20
13000,273.0006,40,33,EPOET20x20
14000,277.5671,40,36,EPOET20x20
15000,275.4004,40,41,EPOET20x20
16000,278.7593,40,45,EPOET20x20
17000,287.9257,40,48,EPOET20x20
18000,288.9091,40,52,EPOET20x20
19000,297.0222,40,54,EPOET20x20
20000,301.2201,40,58,EPOET20x20
21000,298.3303,40,58,EPOET20x20
22000,302.4563,40,61,EPOET20x20
23000,303.2133,40,65,EPOET20x20
24000,301.6024,40,67,EPOET20x20
25000,300.3001,40,70,EPOET20x20
