index,Environment,Fitness,SBT-ATEP,FBT-ATEP,EPOET40x40
1,1,Above 300,1,1,1
2,1,200 to 300,1,2,1
3,1,Below 200,78,77,78
4,2,Above 300,1,1,1
5,2,200 to 300,0,1,1
6,2,Below 200,79,78,78
7,3,Above 300,1,1,1
8,3,200 to 300,2,1,0
9,3,Below 200,77,78,79
10,4,Above 300,2,1,2
11,4,200 to 300,1,1,1
12,4,Below 200,77,78,77
13,5,Above 300,2,1,1
14,5,200 to 300,1,2,2
15,5,Below 200,77,77,77
16,6,Above 300,1,2,2
17,6,200 to 300,1,2,2
18,6,Below 200,78,76,76
19,7,Above 300,1,2,2
20,7,200 to 300,2,2,3
21,7,Below 200,77,76,75
22,8,Above 300,2,1,3
23,8,200 to 300,3,5,2
24,8,Below 200,75,74,75
25,9,Above 300,3,4,4
26,9,200 to 300,4,2,3
27,9,Below 200,73,74,73
28,10,Above 300,3,5,2
29,10,200 to 300,4,2,3
30,10,Below 200,73,73,75
31,11,Above 300,5,6,6
32,11,200 to 300,3,2,3
33,11,Below 200,72,72,71
34,12,Above 300,6,6,6
35,12,200 to 300,3,4,3
36,12,Below 200,71,70,71
37,13,Above 300,6,6,6
38,13,200 to 300,3,4,3
39,13,Below 200,71,70,71
40,14,Above 300,6,6,6
41,14,200 to 300,3,4,3
42,14,Below 200,71,70,71
43,15,Above 300,6,6,6
44,15,200 to 300,9,8,9
45,15,Below 200,65,66,65
46,16,Above 300,5,5,8
47,16,200 to 300,13,9,6
48,16,Below 200,62,66,66
49,17,Above 300,6,6,8
50,17,200 to 300,13,9,6
51,17,Below 200,61,65,66
52,18,Above 300,6,6,9
53,18,200 to 300,13,13,8
54,18,Below 200,61,61,63
55,19,Above 300,6,6,9
56,19,200 to 300,13,13,8
57,19,Below 200,61,61,63
58,20,Above 300,6,6,10
59,20,200 to 300,14,15,8
60,20,Below 200,60,59,62
61,21,Above 300,6,6,10
62,21,200 to 300,15,16,9
63,21,Below 200,59,58,61
64,22,Above 300,6,6,11
65,22,200 to 300,15,16,9
66,22,Below 200,59,58,60
67,23,Above 300,7,6,11
68,23,200 to 300,15,16,8
69,23,Below 200,58,58,61
70,24,Above 300,7,6,11
71,24,200 to 300,14,16,9
72,24,Below 200,59,58,60
73,25,Above 300,7,7,11
74,25,200 to 300,16,16,10
75,25,Below 200,57,57,59
76,26,Above 300,7,8,11
77,26,200 to 300,18,16,10
78,26,Below 200,55,56,59
79,27,Above 300,7,8,11
80,27,200 to 300,17,16,10
,27,Below 200,56,56,59
,28,Above 300,6,8,11
,28,200 to 300,21,15,10
,28,Below 200,53,57,59
,29,Above 300,6,8,12
,29,200 to 300,21,15,11
,29,Below 200,53,57,57
,30,Above 300,7,8,12
,30,200 to 300,20,16,11
,30,Below 200,53,56,57
,31,Above 300,7,7,12
,31,200 to 300,20,17,11
,31,Below 200,53,56,57
,32,Above 300,7,8,12
,32,200 to 300,21,19,12
,32,Below 200,52,53,56
,33,Above 300,7,9,14
,33,200 to 300,21,20,11
,33,Below 200,52,51,55
,34,Above 300,6,9,15
,34,200 to 300,21,20,11
,34,Below 200,53,51,54
,35,Above 300,7,8,15
,35,200 to 300,21,20,11
,35,Below 200,52,52,54
,36,Above 300,7,10,15
,36,200 to 300,22,19,12
,36,Below 200,51,51,53
,37,Above 300,8,10,15
,37,200 to 300,23,19,12
,37,Below 200,49,51,53
,38,Above 300,10,11,15
,38,200 to 300,23,19,13
,38,Below 200,47,50,52
,39,Above 300,10,11,16
,39,200 to 300,23,18,13
,39,Below 200,47,51,51
,40,Above 300,11,11,16
,40,200 to 300,23,20,13
,40,Below 200,46,49,51
,41,Above 300,11,10,17
,41,200 to 300,25,20,13
,41,Below 200,44,50,50
,42,Above 300,12,10,16
,42,200 to 300,26,21,14
,42,Below 200,42,49,50
,43,Above 300,12,10,17
,43,200 to 300,29,23,13
,43,Below 200,39,47,50
,44,Above 300,12,11,17
,44,200 to 300,30,23,14
,44,Below 200,38,46,49
,45,Above 300,12,11,17
,45,200 to 300,30,24,16
,45,Below 200,38,45,47
,46,Above 300,13,12,18
,46,200 to 300,32,24,16
,46,Below 200,35,44,46
,47,Above 300,13,12,19
,47,200 to 300,37,24,16
,47,Below 200,30,44,45
,48,Above 300,12,12,20
,48,200 to 300,37,25,16
,48,Below 200,31,43,44
,49,Above 300,13,12,20
,49,200 to 300,38,25,16
,49,Below 200,29,43,44
,50,Above 300,14,13,21
,50,200 to 300,39,25,16
,50,Below 200,27,42,43
,51,Above 300,15,13,22
,51,200 to 300,40,25,16
,51,Below 200,25,42,42
,52,Above 300,15,14,22
,52,200 to 300,41,25,16
,52,Below 200,24,41,42
,53,Above 300,15,15,22
,53,200 to 300,41,26,16
,53,Below 200,24,39,42
,54,Above 300,17,15,23
,54,200 to 300,41,26,16
,54,Below 200,22,39,41
,55,Above 300,17,15,24
,55,200 to 300,42,27,16
,55,Below 200,21,38,40
,56,Above 300,17,15,24
,56,200 to 300,41,28,17
,56,Below 200,22,37,39
,57,Above 300,17,15,24
,57,200 to 300,42,28,17
,57,Below 200,21,37,39
,58,Above 300,17,15,22
,58,200 to 300,43,28,19
,58,Below 200,20,37,39
,59,Above 300,17,15,23
,59,200 to 300,44,29,18
,59,Below 200,19,36,39
,60,Above 300,19,15,24
,60,200 to 300,47,29,18
,60,Below 200,14,36,38
,61,Above 300,19,16,22
,61,200 to 300,48,28,20
,61,Below 200,13,36,38
,62,Above 300,19,16,23
,62,200 to 300,48,29,20
,62,Below 200,13,35,37
,63,Above 300,20,18,22
,63,200 to 300,48,30,21
,63,Below 200,12,32,37
,64,Above 300,20,20,23
,64,200 to 300,49,30,21
,64,Below 200,11,30,36
,65,Above 300,20,22,24
,65,200 to 300,49,29,21
,65,Below 200,11,29,35
,66,Above 300,20,23,25
,66,200 to 300,48,28,21
,66,Below 200,12,29,34
,67,Above 300,20,24,24
,67,200 to 300,50,28,22
,67,Below 200,10,28,34
,68,Above 300,20,24,26
,68,200 to 300,51,28,22
,68,Below 200,9,28,32
,69,Above 300,21,25,25
,69,200 to 300,51,28,24
,69,Below 200,8,27,31
,70,Above 300,21,26,24
,70,200 to 300,50,28,24
,70,Below 200,9,26,32
,71,Above 300,21,26,26
,71,200 to 300,52,29,24
,71,Below 200,7,25,30
,72,Above 300,21,26,26
,72,200 to 300,53,31,23
,72,Below 200,6,23,31
,73,Above 300,21,28,27
,73,200 to 300,53,31,23
,73,Below 200,6,21,30
,74,Above 300,21,29,27
,74,200 to 300,54,31,24
,74,Below 200,5,20,29
,75,Above 300,21,29,27
,75,200 to 300,55,34,25
,75,Below 200,4,17,28
,76,Above 300,21,30,27
,76,200 to 300,53,35,23
,76,Below 200,6,15,30
,77,Above 300,21,30,27
,77,200 to 300,52,36,26
,77,Below 200,7,14,27
,78,Above 300,21,31,28
,78,200 to 300,53,37,26
,78,Below 200,6,12,26
,79,Above 300,21,30,29
,79,200 to 300,54,37,26
,79,Below 200,5,13,25
,80,Above 300,21,32,31
,80,200 to 300,54,37,26
,80,Below 200,5,11,23
